Date,Item,Quantity,Total,Monis,Saad,Monis Advance,Notes
18-June-2026,Gurdya and queen crossed with shelby,-,-,,-,,
19-June-2026,Recieved from Monis,-,,5000,,5000,Transfered 20k to my meezan - 15k for zakaat for mumtaz bhai
19-June-2026,Jantar,-,5000,,5000,,
19-June-2026,Chocolate and queen crossed with shelby,-,-,,-,,
22-June-2026,Paro crossed with shelby again,-,-,,-,,
23-June-2026,Jantar,-,5000,,5000,,
27-June-2026,Jantar,-,5000,,5000,,
28-June-2026,Water,-,500,,500,,
28-June-2026,Paid goatherd,-,5000,,5000,,
29-June-2026,Bilorani and bruno sold (Saad's share),-,,-32500,,-32500,Sold for 65000 with delivery
29-June-2026,Bilorani and bruno delivery charges,-,3000,3000,,,
29-June-2026,Paid shelby breeder reamining (Shaheer),-,40000,40000,,,
29-June-2026,Recieved from Monis,-,,25000,,25000,
29-June-2026,Paid goatherd,-,20000,,20000,,
1-July-2026,Jantar,-,15000,,15000,,
3-July-2026,Monis share (Awais bhai palai),5,,17500,,17500,
3-July-2026,Ultrasound,5,4000,,4000,,
6-July-2026,Recieved from Monis,-,,40000,,40000,
11-July-2026,"Delivery for gulabo, leo, bhola and sheezada",-,,3000,,3000,
12-July-2026,Jantar,-,5000,,5000,,
12-July-2026,Return delivery for leo,-,2000,,2000,,
12-July-2026,Sheezada Sold (My share),-,,-16500,,-16500,
13-July-2026,Bubbly crossed with shelby,-,,,,,
14-July-2026,Bubbly crossed with shelby,-,,,,,
15-July-2026,Jantar,-,5000,,5000,,
16-July-2026,Bhola Sold (My share),-,,-12000,,-12000,Sold for 25000 and 1000 less for delivery
21-July-2026,Recieved from Monis,-,,54000,,54000,
21-July-2026,Jantar,-,5000,,5000,,
22-July-2026,Jantar,-,4000,,4000,,
23-July-2026,Channa Chilka,140kg,19250,,19250,,
23-July-2026,Chokar,68kg,5300,,5300,,
23-July-2026,Gandum,50kg,6500,,6500,,
23-July-2026,Delivery,-,1500,,1500,,
24-July-2026,Electricity Bill,-,2333,,2333,,
,,,3321422,1852958,2174322,705858,
,,Divide by 2,1660711,,,,
,,Monis's Share,1852958,,,,
,,Saad's Shares,1468464,,,,
,,Monis Difference,192247,,,,
,,Saad Difference,-192247,,,,
